geo_type,geo_area_name,time_period,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 ç¢Œg/dL
Borough,Bronx,2005,8245
Borough,Bronx,2006,7272
Borough,Bronx,2007,6174
Borough,Bronx,2008,4254
Borough,Bronx,2009,2742
Borough,Bronx,2010,2625
Borough,Bronx,2011,1996
Borough,Bronx,2012,1396
Borough,Bronx,2013,1312
Borough,Bronx,2014,1186
Borough,Bronx,2015,971
Borough,Bronx,2016,884
Borough,Brooklyn,2005,15015
Borough,Brooklyn,2006,14199
Borough,Brooklyn,2007,12622
Borough,Brooklyn,2008,8288
Borough,Brooklyn,2009,6719
Borough,Brooklyn,2010,6182
Borough,Brooklyn,2011,5483
Borough,Brooklyn,2012,4017
Borough,Brooklyn,2013,3370
Borough,Brooklyn,2014,2929
Borough,Brooklyn,2015,2458
Borough,Brooklyn,2016,2314
Borough,Manhattan,2005,4851
Borough,Manhattan,2006,4531
Borough,Manhattan,2007,3935
Borough,Manhattan,2008,2428
Borough,Manhattan,2009,1579
Borough,Manhattan,2010,1228
Borough,Manhattan,2011,992
Borough,Manhattan,2012,654
Borough,Manhattan,2013,622
Borough,Manhattan,2014,539
Borough,Manhattan,2015,399
Borough,Manhattan,2016,289
Borough,Queens,2005,8238
Borough,Queens,2006,7638
Borough,Queens,2007,6699
Borough,Queens,2008,4821
Borough,Queens,2009,3649
Borough,Queens,2010,3528
Borough,Queens,2011,2649
Borough,Queens,2012,1864
Borough,Queens,2013,1638
Borough,Queens,2014,1658
Borough,Queens,2015,1377
Borough,Queens,2016,1247
Borough,Staten Island,2005,990
Borough,Staten Island,2006,983
Borough,Staten Island,2007,1049
Borough,Staten Island,2008,611
Borough,Staten Island,2009,528
Borough,Staten Island,2010,388
Borough,Staten Island,2011,317
Borough,Staten Island,2012,246
Borough,Staten Island,2013,260
Borough,Staten Island,2014,238
Borough,Staten Island,2015,164
Borough,Staten Island,2016,192